value,state,wstate,wstateval,ecity,ecityval,wcity,wcityval,,JOB TITLE VAL,JOB TITLE,,,,JOB TITLE VAL,JOB TITLE,,,W-CITY,W-CITY VAL,,,E-CITY,E-CITY VAL
,,,,HOLMDEL,37,WEST VALLEY,57,,0,,,,,,,,,,,,,,
,,,,BOLIVAR,37,DEER PARK,57,,0,,,,,,,,,,,,,,
,,,,VAN BUREN TOWNSHIP,37,SYMMES TOWNSHIP,57,,0,,,,,,,,,,,,,,
,,,,GUYMON,37,LONGVIEW,57,,0,,,,,,,,,,,,,,
,,,,SAINT PETERS,37,FLOWER MOUND,56,,0,,,,,,,,,,,,,,
,,,,TEANECK,37,ABERDEEN,56,,0,,,,,,,,,,,,,,
,,,,CORAL SPRING,37,BISMARCK,56,,0,,,,,,,,,,,,,,
,,,,CEDAR FALLS,36,PENSACOLA,56,,0,,,,,,,,,,,,,,
,,,,MORGAN HILL,36,SOUTH BURLINGTON,56,,0,,,,,,,,,,,,,,
,,,,CINNAMINSON,36,NORTH BERGEN,56,,0,,,,,,,,,,,,,,
,,,,GILBERT,36,EAST SYRACUSE,56,,0,,,,,,,,,,,,,,
,,,,NORTHVALE,36,WEST BEND,56,,0,,,,,,,,,,,,,,
,,,,SAN DIMAS,36,WOODSIDE,56,,0,,,,,,,,,,,,,,
,,,,WOOSTER,36,EAST RUTHERFORD,56,,0,,,,,,,,,,,,,,
,,,,BROOKINGS,36,PEKIN,56,,0,,,,,,,,,,,,,,
,,,,ELIZABETH,36,NEPTUNE,56,,0,,,,,,,,,,,,,,
,,,,NORTH READING,36,ST. LOUIS PARK,55,,0,,,,,,,,,,,,,,
,,,,CEDAR KNOLLS,36,MAITLAND,55,,0,,,,,,,,,,,,,,
,,,,WELLINGTON,36,BRIDGETON,55,,0,,,,,,,,,,,,,,
,,,,KEENE,36,RIVERVIEW,55,,0,,,,,,,,,,,,,,
,,,,IDAHO FALLS,36,FEDERAL WAY,55,,0,,,,,,,,,,,,,,
,,,,NY,36,FULTON,55,,0,,,,,,,,,,,,,,
,,,,NISKAYUNA,36,MOOSIC,55,,0,,,,,,,,,,,,,,
,,,,LAGRANGE,36,POUGHKEEPSIE,55,,0,,,,,,,,,,,,,,
,,,,LOGAN,36,PLEASANT PRAIRIE,54,,0,,,,,,,,,,,,,,
,,,,MARYSVILLE,36,FARMINGDALE,54,,0,,,,,,,,,,,,,,
,,,,STARKVILLE,36,CHULA VISTA,54,,0,,,,,,,,,,,,,,
,,,,BALDWIN,36,CORNING,54,,0,,,,,,,,,,,,,,
,,,,NAUGATUCK,35,FORT SMITH,54,,0,,,,,,,,,,,,,,
,,,,DARIEN,35,CLEMSON,54,,0,,,,,,,,,,,,,,
,,,,FRANKLIN LAKES,35,WESTBURY,54,,0,,,,,,,,,,,,,,
,,,,RANDOLPH,35,WESTMONT,53,,0,,,,,,,,,,,,,,
,,,,OAK CREEK,35,VISTA,53,,0,,,,,,,,,,,,,,
,,,,LONGVIEW,35,HAZLET,53,,0,,,,,,,,,,,,,,
,,,,SUMMIT,34,BAYSIDE,53,,0,,,,,,,,,,,,,,
,,,,BALDWIN PARK,34,FISHERS,53,,0,,,,,,,,,,,,,,
,,,,DANVERS,34,SUITLAND,53,,0,,,,,,,,,,,,,,
,,,,SPOKANE,34,WEST TRENTON,53,,0,,,,,,,,,,,,,,
,,,,CHESTNUT HILL,34,WESTBROOK,53,,0,,,,,,,,,,,,,,
,,,,MEQUON,34,BINGHAMTON,53,,0,,,,,,,,,,,,,,
,,,,SANTA FE,34,BRANCHVILLE,53,,0,,,,,,,,,,,,,,
,,,,WELLESLEY,34,FORTWORTH,53,,0,,,,,,,,,,,,,,
,,,,WACO,34,BROOKHAVEN,52,,0,,,,,,,,,,,,,,
,,,,GLASSBORO,34,WESTWOOD,52,,0,,,,,,,,,,,,,,
,,,,WEXFORD,34,GAHANNA,52,,0,,,,,,,,,,,,,,
,,,,WAYZATA,34,PALM BEACH GARDENS,52,,0,,,,,,,,,,,,,,
,,,,PATERSON,34,MCALLEN,52,,0,,,,,,,,,,,,,,
,,,,KINGSTON,34,CORDOVA,52,,0,,,,,,,,,,,,,,
,,,,FLAGSTAFF,34,TEMPLE,52,,0,,,,,,,,,,,,,,
,,,,OLD GREENWICH,34,NORTHFIELD,52,,0,,,,,,,,,,,,,,
,,,,HARRISONBURG,34,JERICHO,52,,0,,,,,,,,,,,,,,
,,,,PITTSFORD,33,WINTER PARK,52,,0,,,,,,,,,,,,,,
,,,,HAZLET,33,HAZELWOOD,52,,0,,,,,,,,,,,,,,
,,,,PEABODY,33,MILL VALLEY,52,,,,,,,,,,,,,,,,
,,,,ANDERSON,33,DOWNINGTOWN,52,,,,,,,,,,,,,,,,
,,,,REYNOLDSBURG,33,BROWNSVILLE,52,,,,,,,,,,,,,,,,
,,,,HACIENDA HEIGHTS,33,YAKIMA,52,,,,,,,,,,,,,,,,
,,,,MERCED,33,BROOKLINE,52,,,,,,,,,,,,,,,,
,,,,COVINGTON,33,TUMWATER,52,,,,,,,,,,,,,,,,
,,,,PALM SPRINGS,33,BARRIGADA,52,,,,,,,,,,,,,,,,
,,,,ROSEWELL,33,GARDEN GROVE,51,,,,,,,,,,,,,,,,
,,,,SAINT PAUL,33,POCATELLO,51,,,,,,,,,,,,,,,,
,,,,CARNEGIE,33,PAWTUCKET,51,,,,,,,,,,,,,,,,
,,,,PEMBROKE PINES,33,MC LEAN,51,,,,,,,,,,,,,,,,
,,,,MCALLEN,33,OAK PARK,51,,,,,,,,,,,,,,,,
,,,,UPLAND,32,HUNTERSVILLE,51,,,,,,,,,,,,,,,,
,,,,PENSACOLA,32,LARAMIE,51,,,,,,,,,,,,,,,,
,,,,PAWTUCKET,32,ROCKAWAY,51,,,,,,,,,,,,,,,,
,,,,SPARKS,32,GLEN MILLS,51,,,,,,,,,,,,,,,,
,,,,SCHENECTADY,32,SANTA CLARITA,51,,,,,,,,,,,,,,,,
,,,,TEMPLE,32,MOUNT PLEASANT,51,,,,,,,,,,,,,,,,
,,,,BRYAN,32,LAS CRUCES,51,,,,,,,,,,,,,,,,
,,,,BRANCHVILLE,32,PALISADES PARK,50,,,,,,,,,,,,,,,,
,,,,DAVIE,32,PLEASANT GROVE,50,,,,,,,,,,,,,,,,
,,,,WILDWOOD,32,WICKLIFFE,50,,,,,,,,,,,,,,,,
,,,,SAN ANGELO,32,WOOSTER,50,,,,,,,,,,,,,,,,
,,,,BROOKHAVEN,32,NEWBURY PARK,50,,,,,,,,,,,,,,,,
,,,,MACOMB,32,ROYAL OAK,50,,,,,,,,,,,,,,,,
,,,,BEVERLY,32,WILLIAMSBURG,50,,,,,,,,,,,,,,,,
,,,,GOLD RRIVER,32,ST PETERSBURG,50,,,,,,,,,,,,,,,,
,,,,HAZARD,31,JAMESBURG,50,,,,,,,,,,,,,,,,
,,,,ST. CLOUD,31,LAKEWOOD RANCH,50,,,,,,,,,,,,,,,,
,,,,NORTH LITTLE ROCK,31,ARDEN HILLS,49,,,,,,,,,,,,,,,,
,,,,WEST READING,31,LA CROSSE,49,,,,,,,,,,,,,,,,
,,,,ROWLAND HEIGHTS,31,MAPLEWOOD,49,,,,,,,,,,,,,,,,
,,,,OAK PARK,31,MT. PROSPECT,49,,,,,,,,,,,,,,,,
,,,,COMPTON,31,WILSONVILLE,49,,,,,,,,,,,,,,,,
,,,,DEKALB,31,MONTCLAIR,49,,,,,,,,,,,,,,,,
,,,,INDEPENDENCE,31,MERIDEN,49,,,,,,,,,,,,,,,,
,,,,SMYRNA,31,BONITA SPRINGS,49,,,,,,,,,,,,,,,,
,,,,BATTLE CREEK,31,CHANHASSEN,49,,,,,,,,,,,,,,,,
,,,,ROCK HILL,31,LAGRANGE,49,,,,,,,,,,,,,,,,
,,,,FREEHOLD,31,MOUNTLAKE TERRACE,49,,,,,,,,,,,,,,,,
,,,,GREAT FALLS,31,LAKE SUCCESS,49,,,,,,,,,,,,,,,,
,,,,VALLEY STREAM,30,DAVIE,49,,,,,,,,,,,,,,,,
,,,,OXNARD,30,SAN BERNARDINO,49,,,,,,,,,,,,,,,,
,,,,WEBSTER,30,BANGOR,49,,,,,,,,,,,,,,,,
,,,,ATTLEBORO,30,NORTH CHARLESTON,48,,,,,,,,,,,,,,,,
,,,,GOLD RIVER,30,WILKES-BARRE,48,,,,,,,,,,,,,,,,
,,,,NORTH BERGEN,30,YUMA,48,,,,,,,,,,,,,,,,
,,,,LAS GATOS,30,CRANFORD,48,,,,,,,,,,,,,,,,
,,,,MOON TWP,30,WARRENDALE,48,,,,,,,,,,,,,,,,
,,,,POWELL,30,VOORHEES,48,,,,,,,,,,,,,,,,
,,,,MURRIETA,30,MOUNT PROSPECT,48,,,,,,,,,,,,,,,,
,,,,TONAWANDA,30,ENGLEWOODS CLIFFS,48,,,,,,,,,,,,,,,,
,,,,HIGHLAND HEIGHTS,30,PLAINFIELD,47,,,,,,,,,,,,,,,,
,,,,FONTANA,30,FOOTHILL RANCH,47,,,,,,,,,,,,,,,,
,,,,CLARKSVILLE,30,ROBBINSVILLE,47,,,,,,,,,,,,,,,,
,,,,CHARLESTOWN,30,STOUGHTON,47,,,,,,,,,,,,,,,,
,,,,VISALIA,30,OPELIKA,47,,,,,,,,,,,,,,,,
,,,,ROCKLEIGH,30,BLOOMFIELD HILLS,47,,,,,,,,,,,,,,,,
,,,,BOZEMAN,30,PEACHTREE CORNERS,47,,,,,,,,,,,,,,,,
,,,,BISMARCK,29,ISLANDIA,47,,,,,,,,,,,,,,,,
,,,,MEDINA,29,BELOIT,47,,,,,,,,,,,,,,,,
,,,,LINDENHURST,29,HOLLISTON,47,,,,,,,,,,,,,,,,
,,,,COVINA,29,DUBUQUE,47,,,,,,,,,,,,,,,,
,,,,SAN CLEMENTE,29,WHEELING,47,,,,,,,,,,,,,,,,
,,,,"FARMINGTON HILLS, MI",29,LAWRENCE TOWNSHIP,47,,,,,,,,,,,,,,,,
,,,,INGLEWOOD,29,MANHASSET,46,,,,,,,,,,,,,,,,
,,,,BROCKTON,29,MARSHFIELD,46,,,,,,,,,,,,,,,,
,,,,WARMINSTER,29,DEDHAM,46,,,,,,,,,,,,,,,,
,,,,COOPERSBURG,29,DEDEDO,46,,,,,,,,,,,,,,,,
,,,,HOLLAND,29,LYNN,46,,,,,,,,,,,,,,,,
,,,,LEANDER,29,CARBONDALE,46,,,,,,,,,,,,,,,,
,,,,MOSCOW,29,ELYRIA,46,,,,,,,,,,,,,,,,
,,,,EASTON,29,MISSION,46,,,,,,,,,,,,,,,,
,,,,LAKE ZURICH,29,WEST GREENWICH,46,,,,,,,,,,,,,,,,
,,,,ALDIE,29,GRAFTON,46,,,,,,,,,,,,,,,,
,,,,BERLIN,29,MATHER,46,,,,,,,,,,,,,,,,
,,,,GURNEE,29,DIMONDALE,46,,,,,,,,,,,,,,,,
,,,,LAKE OSWEGO,29,SNOQUALMIE,46,,,,,,,,,,,,,,,,
,,,,CHANTILY,29,UNIVERSITY,45,,,,,,,,,,,,,,,,
,,,,WINTER HAVEN,28,VICTOR,45,,,,,,,,,,,,,,,,
,,,,TAYLOR,28,NEW HARTFORD,45,,,,,,,,,,,,,,,,
,,,,JERICHO,28,SUN PRAIRIE,45,,,,,,,,,,,,,,,,
,,,,CUMBERLAND,28,RANCHO SANTA MARGARITA,45,,,,,,,,,,,,,,,,
,,,,SPRINGDALE,28,MISSOURI CITY,45,,,,,,,,,,,,,,,,
,,,,OLYMPIA,28,WATERBURY,45,,,,,,,,,,,,,,,,
,,,,SOUTH EL MONTE,28,JOHNSON CITY,45,,,,,,,,,,,,,,,,
,,,,SYOSSET,28,KINGWOOD,45,,,,,,,,,,,,,,,,
,,,,PIERRE,28,CORALVILLE,45,,,,,,,,,,,,,,,,
,,,,CANOGA PARK,28,ST. JOSEPH,45,,,,,,,,,,,,,,,,
,,,,ST PAUL,28,MOUNTAIN LAKES,45,,,,,,,,,,,,,,,,
,,,,CLAREMONT,28,FLINT,44,,,,,,,,,,,,,,,,
,,,,BILLINGS,28,FREDERICKSBURG,44,,,,,,,,,,,,,,,,
,,,,NORWELL,28,WEST VALLEY CITY,44,,,,,,,,,,,,,,,,
,,,,BROWNSVILLE,28,TAYLOR,44,,,,,,,,,,,,,,,,
,,,,REDONDO BEACH,28,JESSUP,44,,,,,,,,,,,,,,,,
,,,,WHITESTONE,28,CHADDS FORD,44,,,,,,,,,,,,,,,,
,,,,LATHAM,27,MERIDIAN,44,,,,,,,,,,,,,,,,
,,,,AVENTURA,27,MUNCIE,44,,,,,,,,,,,,,,,,
,,,,BROADLANDS,27,MORGAN HILL,44,,,,,,,,,,,,,,,,
,,,,TREVOSE,27,OGDEN,44,,,,,,,,,,,,,,,,
,,,,CHINO HILLS,27,ORRVILLE,44,,,,,,,,,,,,,,,,
,,,,WYOMING,27,BRECKSVILLE,44,,,,,,,,,,,,,,,,
,,,,WHIPPANY,27,EDINBURG,44,,,,,,,,,,,,,,,,
,,,,PLESANTON,27,GILBERT,43,,,,,,,,,,,,,,,,
,,,,CHADDS FORD,27,NAPA,43,,,,,,,,,,,,,,,,
,,,,GEORGETOWN,27,DEVENS,43,,,,,,,,,,,,,,,,
,,,,MARION,27,ST. CLOUD,43,,,,,,,,,,,,,,,,
,,,,WATERBURY,27,REDFORD,43,,,,,,,,,,,,,,,,
,,,,CRESTVIEW HILLS,27,ROCKLEIGH,43,,,,,,,,,,,,,,,,
,,,,ST GEORGE,27,COVINA,43,,,,,,,,,,,,,,,,
,,,,CLARKSBURG,27,POWAY,43,,,,,,,,,,,,,,,,
,,,,VISTA,26,FENTON,43,,,,,,,,,,,,,,,,
,,,,HARAHAN,26,OCEANSIDE,43,,,,,,,,,,,,,,,,
,,,,ROGERS,26,PLAINVILLE,43,,,,,,,,,,,,,,,,
,,,,MURFREESBORO,26,PATERSON,43,,,,,,,,,,,,,,,,
,,,,WEST BLOOMFIELD,26,GREER,43,,,,,,,,,,,,,,,,
,,,,CONYERS,26,DODGEVILLE,43,,,,,,,,,,,,,,,,
,,,,GRAND FORKS,26,RANDOLPH,43,,,,,,,,,,,,,,,,
,,,,HOPKINS,26,HYATTSVILLE,43,,,,,,,,,,,,,,,,
,,,,MERIDIAN,26,INDIANOLA,43,,,,,,,,,,,,,,,,
,,,,MADERA,26,JOPLIN,42,,,,,,,,,,,,,,,,
,,,,BLOOMFIELD,26,CONYERS,42,,,,,,,,,,,,,,,,
,,,,NEENAH,26,APOPKA,42,,,,,,,,,,,,,,,,
,,,,VAN NUYS,26,COOPERSTOWN,42,,,,,,,,,,,,,,,,
,,,,BRADENTON,26,ARTESIA,42,,,,,,,,,,,,,,,,
,,,,MINEOLA,26,KINGSPORT,42,,,,,,,,,,,,,,,,
,,,,JACKSON HEIGHTS,26,VAN NUYS,42,,,,,,,,,,,,,,,,
,,,,DUNWOODY,26,WEST HARTFORD,42,,,,,,,,,,,,,,,,
,,,,NEW PORT RICHEY,26,STILLWATER,42,,,,,,,,,,,,,,,,
,,,,FREDERICKSBURG,26,TRIANGLE RESEARCH PARK,42,,,,,,,,,,,,,,,,
,,,,RIVIERA BEACH,25,PEABODY,42,,,,,,,,,,,,,,,,
,,,,TEMPLE CITY,25,CARLSTADT,42,,,,,,,,,,,,,,,,
,,,,HOUGHTON,25,NY,42,,,,,,,,,,,,,,,,
,,,,PEACHTREE CITY,25,NEW LONDON,42,,,,,,,,,,,,,,,,
,,,,NORWICH,25,BLOOMSBURG,42,,,,,,,,,,,,,,,,
,,,,CHICO,25,GREENWOOD,42,,,,,,,,,,,,,,,,
,,,,KISSIMMEE,25,PEARL RIVER,41,,,,,,,,,,,,,,,,
,,,,TOTOWA,25,LINDEN,41,,,,,,,,,,,,,,,,
,,,,HUNTERSVILLE,25,LIBERTY CORNER,41,,,,,,,,,,,,,,,,
,,,,PORT LAVACA,25,SPRING VALLEY,41,,,,,,,,,,,,,,,,
,,,,MANHASSET,25,GENEVA,41,,,,,,,,,,,,,,,,
,,,,WOODBRIDGE TOWNSHIP,25,NISKAYUNA,41,,,,,,,,,,,,,,,,
,,,,EATONTOWN,25,IPSWICH,41,,,,,,,,,,,,,,,,
,,,,BARRINGTON,25,HOLYOKE,41,,,,,,,,,,,,,,,,
,,,,FT. SMITH,25,ST GEORGE,41,,,,,,,,,,,,,,,,
,,,,BROOKLYN PARK,25,EASTLAND,41,,,,,,,,,,,,,,,,
,,,,KINGSVILLE,25,ABILENE,40,,,,,,,,,,,,,,,,
,,,,RIDGELAND,25,CLIFTON PARK,40,,,,,,,,,,,,,,,,
,,,,ELMWOOD PARK,25,CLARKSVILLE,40,,,,,,,,,,,,,,,,
,,,,CHESTERBROOK,25,BUDD LAKE,40,,,,,,,,,,,,,,,,
,,,,MENANDS,25,OREM,40,,,,,,,,,,,,,,,,
,,,,WAUKEGAN,25,EATONTOWN,40,,,,,,,,,,,,,,,,
,,,,TWINSBURG,25,ERWIN,40,,,,,,,,,,,,,,,,
,,,,WAVERLY,25,COLLEGE POINT,40,,,,,,,,,,,,,,,,
,,,,YARMOUTH,24,NEW JERSEY,40,,,,,,,,,,,,,,,,
,,,,PEARL RIVER,24,MILAN,40,,,,,,,,,,,,,,,,
,,,,VENTURA,24,CHESAPEAKE,40,,,,,,,,,,,,,,,,
,,,,HICKORY,24,EAU CLAIRE,40,,,,,,,,,,,,,,,,
,,,,RAMSEY,24,MINOT,40,,,,,,,,,,,,,,,,
,,,,KETTERING,24,GOLD RIVER,40,,,,,,,,,,,,,,,,
,,,,WEST COVINA,24,LINTHICUM HEIGHTS,40,,,,,,,,,,,,,,,,
,,,,NEW ROCHELLE,24,RED BANK,40,,,,,,,,,,,,,,,,
,,,,LA MIRADA,24,HIGHLAND HILLS,40,,,,,,,,,,,,,,,,
,,,,GREENWOOD,24,PITTSFIELD,40,,,,,,,,,,,,,,,,
,,,,LAGUNA HILLS,24,WEST BLOOMFIELD,40,,,,,,,,,,,,,,,,
,,,,METAIRIE,24,PLAINVIEW,39,,,,,,,,,,,,,,,,
,,,,AZUSA,24,ASHEVILLE,39,,,,,,,,,,,,,,,,
,,,,TRENTON,24,NEW HOPE,39,,,,,,,,,,,,,,,,
,,,,MEADVILLE,24,LA VISTA,39,,,,,,,,,,,,,,,,
,,,,KEARNY,24,COLD SPRING HARBOR,39,,,,,,,,,,,,,,,,
,,,,PAPILLION,24,WEST CONSHOHOCKEN,39,,,,,,,,,,,,,,,,
,,,,OCEANSIDE,24,TEMECULA,39,,,,,,,,,,,,,,,,
,,,,FINDLAY,24,MINEOLA,39,,,,,,,,,,,,,,,,
,,,,MOUNT VERNON,24,FONTANA,39,,,,,,,,,,,,,,,,
,,,,POCATELLO,24,HARRISONBURG,39,,,,,,,,,,,,,,,,
,,,,FLINT,24,CLAREMONT,39,,,,,,,,,,,,,,,,
,,,,PITTSBURG,24,EDGEWOOD,39,,,,,,,,,,,,,,,,
,,,,MALIBU,24,WEST COVINA,38,,,,,,,,,,,,,,,,
,,,,WHEELING,24,HELENA,38,,,,,,,,,,,,,,,,
,,,,FLOWOOD,24,FOND DU LAC,38,,,,,,,,,,,,,,,,
,,,,SAYRE,24,APEX,38,,,,,,,,,,,,,,,,
,,,,PLEASANT HILL,24,WEST HAVEN,38,,,,,,,,,,,,,,,,
,,,,TARPON SPRINGS,24,MT LAUREL,38,,,,,,,,,,,,,,,,
,,,,LINCOLNTON,24,MIAMI LAKES,38,,,,,,,,,,,,,,,,
,,,,LITTLETON,23,BELTSVILLE,38,,,,,,,,,,,,,,,,
,,,,RIDGEWOOD,23,LYNNWOOD,38,,,,,,,,,,,,,,,,
,,,,WARWICK,23,AUDUBON,38,,,,,,,,,,,,,,,,
,,,,ARDMORE,23,DAVIDSON,38,,,,,,,,,,,,,,,,
,,,,ST. GEORGE,23,LAKE ORION,38,,,,,,,,,,,,,,,,
,,,,CHASKA,23,WARMINSTER,38,,,,,,,,,,,,,,,,
,,,,MAYNARD,23,MCKEESPORT,38,,,,,,,,,,,,,,,,
,,,,NORTH MIAMI,23,CLAYTON,38,,,,,,,,,,,,,,,,
,,,,CHESAPEAKE,23,LAKE ZURICH,38,,,,,,,,,,,,,,,,
,,,,HAGERSTOWN,23,SAN ANGELO,38,,,,,,,,,,,,,,,,
,,,,MAYWOOD,23,OAKBROOK,37,,,,,,,,,,,,,,,,
,,,,FRESH MEADOWS,23,DALY CITY,37,,,,,,,,,,,,,,,,
,,,,BELLAIRE,23,OXNARD,37,,,,,,,,,,,,,,,,
,,,,DUBUQUE,23,JASPER,37,,,,,,,,,,,,,,,,
,,,,WESTBROOK,23,RAYNHAM,37,,,,,,,,,,,,,,,,
,,,,SHIPPENSBURG,23,CALHOUN,37,,,,,,,,,,,,,,,,
,,,,LIBERTY LAKE,23,OSWEGO,37,,,,,,,,,,,,,,,,
,,,,BELLEVILLE,23,TOTOWA,37,,,,,,,,,,,,,,,,
,,,,WICHITA FALLS,23,SEGUIN,37,,,,,,,,,,,,,,,,
,,,,MALDEN,23,BROCKTON,37,,,,,,,,,,,,,,,,
,,,,SYMMES TOWNSHIP,23,SAUSALITO,37,,,,,,,,,,,,,,,,
,,,,HAMPSHIRE,23,NORTHBOROUGH,37,,,,,,,,,,,,,,,,
,,,,LAWRENCE TOWNSHIP,23,NORTHVALE,36,,,,,,,,,,,,,,,,
,,,,VAIL,23,ELMWOOD PARK,36,,,,,,,,,,,,,,,,
,,,,MOUNTAINVIEW,23,ST CHARLES,36,,,,,,,,,,,,,,,,
,,,,WILLOWBROOK,23,LORAIN,36,,,,,,,,,,,,,,,,
,,,,ST. JOSEPH,23,FLORAL PARK,36,,,,,,,,,,,,,,,,
,,,,ELMONT,23,INVER GROVE HEIGHTS,36,,,,,,,,,,,,,,,,
,,,,MANASQUAN,23,VAN BUREN TWP,36,,,,,,,,,,,,,,,,
,,,,REDDING,22,ANOKA,36,,,,,,,,,,,,,,,,
,,,,RYE BROOK,22,MANKATO,36,,,,,,,,,,,,,,,,
,,,,CARSON CITY,22,PALM SPRINGS,36,,,,,,,,,,,,,,,,
,,,,LA VERNE,22,NORTH CANTON,36,,,,,,,,,,,,,,,,
,,,,ESTERO,22,MORGANVILLE,36,,,,,,,,,,,,,,,,
,,,,CHEYENNE,22,HACIENDA HEIGHTS,35,,,,,,,,,,,,,,,,
,,,,WASHINGTON DC,22,BROOKINGS,35,,,,,,,,,,,,,,,,
,,,,PATASKALA,22,PERRYSBURG,35,,,,,,,,,,,,,,,,
,,,,NEW JERSEY,22,EAST CHICAGO,35,,,,,,,,,,,,,,,,
,,,,MT DORA,22,WILLISTON,35,,,,,,,,,,,,,,,,
,,,,LA PORTE,22,PARSIPANNY,35,,,,,,,,,,,,,,,,
,,,,DOTHAN,22,LOMA LINDA,35,,,,,,,,,,,,,,,,
,,,,WEST FARGO,22,METAIRIE,35,,,,,,,,,,,,,,,,
,,,,GRAND JUNCTION,22,MEDIA,35,,,,,,,,,,,,,,,,
,,,,WESTFIELD,21,WHITAKERS,35,,,,,,,,,,,,,,,,
,,,,NEWINGTON,21,IDAHO FALLS,35,,,,,,,,,,,,,,,,
,,,,MENTOR,21,MIDDLESEX,35,,,,,,,,,,,,,,,,
,,,,ABILENE,21,HILO,35,,,,,,,,,,,,,,,,
,,,,VICTOR,21,LA VERGNE,35,,,,,,,,,,,,,,,,
,,,,APPLETON,21,HICKORY,35,,,,,,,,,,,,,,,,
,,,,STATE COLLEGE,21,PELLA,35,,,,,,,,,,,,,,,,
,,,,MINOT,21,HOMESTEAD,35,,,,,,,,,,,,,,,,
,,,,LANHAM,21,WESTFIELD,35,,,,,,,,,,,,,,,,
,,,,CHAMBERSBURG,21,TEWKSBURY,34,,,,,,,,,,,,,,,,
,,,,SELDEN,21,MERRILL,34,,,,,,,,,,,,,,,,
,,,,ELIZABETHTOWN,21,METTAWA,34,,,,,,,,,,,,,,,,
,,,,MARSHALL,21,MERRILLVILLE,34,,,,,,,,,,,,,,,,
,,,,MILLBRAE,21,CLOVIS,34,,,,,,,,,,,,,,,,
,,,,RENSSELAER,21,JOLIET,34,,,,,,,,,,,,,,,,
,,,,LA CROSSE,21,NORWICH,34,,,,,,,,,,,,,,,,
,,,,PARK CITY,21,ALOHA,34,,,,,,,,,,,,,,,,
,,,,PELLA,21,TOMS RIVER,34,,,,,,,,,,,,,,,,
,,,,MANKATO,21,NEW BREMEN,34,,,,,,,,,,,,,,,,
,,,,ORONO,21,MIDDLEBURY,34,,,,,,,,,,,,,,,,
,,,,WASHINGTON D.C.,21,MOORPARK,34,,,,,,,,,,,,,,,,
,,,,FAIRBANKS,21,BURNSVILLE,34,,,,,,,,,,,,,,,,
,,,,BEDMINSTER,21,FLOWOOD,34,,,,,,,,,,,,,,,,
,,,,NORTH CANTON,21,SOLANA BEACH,34,,,,,,,,,,,,,,,,
,,,,EAST RUTHERFORD,21,UPPER SADDLE RIVER,34,,,,,,,,,,,,,,,,
,,,,DOUGLASSVILLE,21,WALLER,34,,,,,,,,,,,,,,,,
,,,,TUKWILA,21,BAY CITY,34,,,,,,,,,,,,,,,,
,,,,D/FW AIRPORT,21,HAMMOND,34,,,,,,,,,,,,,,,,
,,,,CHESTER,21,LEWIS CENTER,33,,,,,,,,,,,,,,,,
,,,,CALVERTON,21,NEW BRAUNFELS,33,,,,,,,,,,,,,,,,
,,,,ST. LOUIS PARK,20,DANIA BEACH,33,,,,,,,,,,,,,,,,
,,,,MERRIMACK,20,ST. GEORGE,33,,,,,,,,,,,,,,,,
,,,,GRAND BLANC,20,WATSONVILLE,33,,,,,,,,,,,,,,,,
,,,,REDFORD,20,RANCHO DOMINGUEZ,33,,,,,,,,,,,,,,,,
,,,,CHATHAM,20,LA PALMA,33,,,,,,,,,,,,,,,,
,,,,NORTH MIAMI BEACH,20,FORTH WORTH,33,,,,,,,,,,,,,,,,
,,,,GREENFIELD,20,RUMFORD,33,,,,,,,,,,,,,,,,
,,,,FENTON,20,CALEDONIA,33,,,,,,,,,,,,,,,,
,,,,ASHEVILLE,20,ELKHORN,33,,,,,,,,,,,,,,,,
,,,,ONEONTA,20,EASTON,33,,,,,,,,,,,,,,,,
,,,,GREER,20,BOZEMAN,33,,,,,,,,,,,,,,,,
,,,,NORTH ATTLEBORO,20,ESSEX JUNCTION,33,,,,,,,,,,,,,,,,
,,,,SADDLE BROOK,20,ROSHARON,33,,,,,,,,,,,,,,,,
,,,,EL CAJON,20,CORTE MADERA,33,,,,,,,,,,,,,,,,
,,,,WESTLAND,20,WHITESTONE,33,,,,,,,,,,,,,,,,
,,,,MAUMELLE,20,INGLEWOOD,33,,,,,,,,,,,,,,,,
,,,,OSHKOSH,20,LOGAN,33,,,,,,,,,,,,,,,,
,,,,WESTFIELD CENTER,20,NEW KENSINGTON,33,,,,,,,,,,,,,,,,
,,,,WOODINVILLE,20,TETERBORO,33,,,,,,,,,,,,,,,,
,,,,FREEMONT,20,UPLAND,32,,,,,,,,,,,,,,,,
,,,,MUSCATINE,20,SHAKOPEE,32,,,,,,,,,,,,,,,,
,,,,ALLENDALE,20,SWIFTWATER,32,,,,,,,,,,,,,,,,
,,,,HOLYOKE,20,DUNCAN,32,,,,,,,,,,,,,,,,
,,,,MIAMI LAKES,20,AVENTURA,32,,,,,,,,,,,,,,,,
,,,,LAKE ALFRED,20,PINE BROOK,32,,,,,,,,,,,,,,,,
,,,,BOONE,20,DALTON,32,,,,,,,,,,,,,,,,
,,,,BENSENVILLE,20,SAN CLEMENTE,32,,,,,,,,,,,,,,,,
,,,,SANTA MARIA,20,NEW  YORK,32,,,,,,,,,,,,,,,,
,,,,ORANGEBURG,20,ST. THOMAS,32,,,,,,,,,,,,,,,,
,,,,ELMSFORD,20,SEAL BEACH,32,,,,,,,,,,,,,,,,
